PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Defect Rate%,Compliance,Compliance Numeric Score,Order_Amount,Saved Amount,Defected Unit amount,Deli Time taken,Deliv_Performance,Missing date flag
PO-00062,Delta_Logistics,23-12-2023,03-01-2024,MRO,Partially Delivered,70,12.37,11.04,10,14%,Yes,1,772.8,93.1,110.4,11,11-15,Valid
PO-00063,Gamma_Co,13-03-2022,15-03-2022,Raw Materials,Delivered,890,98.26,93.14,49,6%,Yes,1,82894.6,4556.8,4563.86,2,0-5,Valid
PO-00064,Alpha_Inc,16-02-2022,04-03-2022,MRO,Delivered,216,13.95,12.31,5,2%,Yes,1,2658.96,354.24,61.55,16,16-20,Valid
PO-00065,Delta_Logistics,09-11-2023,12-11-2023,Packaging,Delivered,1347,100.13,94.3,200,15%,Yes,1,127022.1,7853.01,18860,3,0-5,Valid
PO-00066,Gamma_Co,22-08-2022,25-08-2022,Office Supplies,Partially Delivered,437,59.51,56.45,25,6%,No,0,24668.65,1337.22,1411.25,3,0-5,Valid
PO-00067,Alpha_Inc,24-10-2022,26-10-2022,Electronics,Delivered,650,103.84,88.28,12,2%,Yes,1,57382,10114,1059.36,2,0-5,Valid
PO-00068,Beta_Supplies,23-03-2022,11-04-2022,Office Supplies,Delivered,365,16.81,15.41,38,10%,Yes,1,5624.65,511,585.58,19,16-20,Valid
PO-00069,Epsilon_Group,27-08-2022,,Raw Materials,Cancelled,63,61.94,53.8,0,0%,Yes,1,3389.4,512.82,0,Pending/Cancelled,Pending/Cancelled,Valid
PO-00070,Alpha_Inc,14-04-2022,22-04-2022,MRO,Delivered,291,98.7,87.02,9,3%,Yes,1,25322.82,3398.88,783.18,8,6-10,Valid
PO-00071,Alpha_Inc,25-01-2023,08-02-2023,MRO,Cancelled,826,60.5,57.18,18,2%,Yes,1,47230.68,2742.32,1029.24,14,11-15,Valid
PO-00072,Delta_Logistics,12-10-2022,01-11-2022,Electronics,Pending,1419,69.64,59.28,194,14%,Yes,1,84118.32,14700.84,11500.32,20,16-20,Valid
PO-00073,Gamma_Co,10-04-2023,27-04-2023,Office Supplies,Delivered,614,78.06,73.95,40,7%,Yes,1,45405.3,2523.54,2958,17,16-20,Valid
PO-00074,Alpha_Inc,13-10-2023,28-10-2023,Electronics,Delivered,947,56.25,54.25,19,2%,Yes,1,51374.75,1894,1030.75,15,11-15,Valid
PO-00075,Epsilon_Group,09-01-2023,28-01-2023,Raw Materials,Delivered,1413,70.47,69.65,0,0%,Yes,1,98415.45,1158.66,0,19,16-20,Valid
PO-00076,Alpha_Inc,16-06-2022,,Office Supplies,Partially Delivered,141,64.15,58.32,0,0%,Yes,1,8223.12,822.03,0,In Process,In Process,Valid
PO-00077,Alpha_Inc,15-01-2023,04-02-2023,Office Supplies,Delivered,1440,96.57,83.87,36,3%,Yes,1,120772.8,18288,3019.32,20,16-20,Valid
PO-00078,Delta_Logistics,30-12-2022,03-01-2023,Raw Materials,Delivered,1005,14.87,12.79,0,0%,No,0,12853.95,2090.4,0,4,0-5,Valid
PO-00079,Alpha_Inc,03-08-2022,,MRO,Delivered,1528,36.52,33,31,2%,No,0,50424,5378.56,1023,Not Updated,Not Updated,Missing
PO-00080,Gamma_Co,18-11-2023,25-11-2023,MRO,Delivered,1501,106.05,100.99,77,5%,No,0,151585.99,7595.06,7776.23,7,6-10,Valid
PO-00081,Delta_Logistics,01-10-2022,04-10-2022,Packaging,Delivered,558,94.18,81.4,0,0%,No,0,45421.2,7131.24,0,3,0-5,Valid
PO-00082,Beta_Supplies,20-12-2023,26-12-2023,MRO,Delivered,825,56.88,50.84,0,0%,Yes,1,41943,4983,0,6,6-10,Valid
PO-00083,Beta_Supplies,01-12-2023,07-12-2023,Electronics,Cancelled,84,73.38,71.42,9,11%,Yes,1,5999.28,164.64,642.78,6,6-10,Valid
PO-00084,Delta_Logistics,26-10-2023,10-11-2023,Raw Materials,Delivered,255,38.64,33.59,27,11%,No,0,8565.45,1287.75,906.93,15,11-15,Valid
PO-00085,Gamma_Co,15-03-2022,31-03-2022,MRO,Delivered,1154,27.2,26.07,58,5%,Yes,1,30084.78,1304.02,1512.06,16,16-20,Valid
PO-00086,Delta_Logistics,16-09-2023,24-09-2023,Office Supplies,Delivered,1635,56.91,54.37,262,16%,No,0,88894.95,4152.9,14244.94,8,6-10,Valid
PO-00087,Delta_Logistics,13-10-2023,23-10-2023,Raw Materials,Delivered,1945,46.19,40.12,278,14%,No,0,78033.4,11806.15,11153.36,10,6-10,Valid
PO-00088,Delta_Logistics,25-06-2022,10-07-2022,MRO,Partially Delivered,1461,64.09,63.39,228,16%,No,0,92612.79,1022.7,14452.92,15,11-15,Valid
PO-00089,Delta_Logistics,01-07-2023,09-07-2023,Electronics,Delivered,1075,18.53,16.12,147,14%,Yes,1,17329,2590.75,2369.64,8,6-10,Valid
PO-00090,Alpha_Inc,08-09-2022,,Packaging,Delivered,1071,101.6,93.91,25,2%,Yes,1,100577.61,8235.99,2347.75,Not Updated,Not Updated,Missing
PO-00091,Epsilon_Group,17-06-2022,06-07-2022,Packaging,Pending,1463,101.23,86.17,43,3%,Yes,1,126066.71,22032.78,3705.31,19,16-20,Valid
PO-00092,Beta_Supplies,19-04-2023,26-04-2023,Raw Materials,Delivered,615,78.3,73.68,69,11%,Yes,1,45313.2,2841.3,5083.92,7,6-10,Valid
PO-00093,Gamma_Co,24-01-2023,11-02-2023,Electronics,Delivered,1179,61.74,56.28,0,0%,Yes,1,66354.12,6437.34,0,18,16-20,Valid
PO-00094,Alpha_Inc,04-10-2022,09-10-2022,Electronics,Partially Delivered,1845,39.56,37.63,45,2%,Yes,1,69427.35,3560.85,1693.35,5,0-5,Valid
PO-00095,Beta_Supplies,18-10-2023,,Electronics,Cancelled,1895,91.98,86.27,170,9%,Yes,1,163481.65,10820.45,14665.9,Pending/Cancelled,Pending/Cancelled,Valid
PO-00096,Epsilon_Group,06-12-2023,09-12-2023,MRO,Partially Delivered,1550,79.86,69.57,32,2%,No,0,107833.5,15949.5,2226.24,3,0-5,Valid
PO-00097,Delta_Logistics,25-07-2023,04-08-2023,Packaging,Delivered,752,26.85,24.37,0,0%,No,0,18326.24,1864.96,0,10,6-10,Valid
PO-00098,Epsilon_Group,13-08-2022,01-09-2022,Electronics,Delivered,451,95.2,90.07,21,5%,Yes,1,40621.57,2313.63,1891.47,19,16-20,Valid
PO-00099,Beta_Supplies,03-12-2023,,Office Supplies,Delivered,779,93.69,90.92,66,8%,Yes,1,70826.68,2157.83,6000.72,Not Updated,Not Updated,Missing
PO-00100,Beta_Supplies,29-11-2022,14-12-2022,MRO,Pending,1629,100.26,86.44,187,11%,No,0,140810.76,22512.78,16164.28,15,11-15,Valid
PO-00101,Alpha_Inc,27-02-2022,22-02-2022,Office Supplies,Delivered,211,75.69,65.4,2,1%,Yes,1,13799.4,2171.19,130.8,-5,0-5,Valid
PO-00102,Alpha_Inc,23-08-2022,,Office Supplies,Delivered,251,67.49,64.48,2,1%,Yes,1,16184.48,755.51,128.96,Not Updated,Not Updated,Missing
PO-00103,Gamma_Co,02-02-2022,18-02-2022,Raw Materials,Delivered,1045,47.88,44.65,69,7%,Yes,1,46659.25,3375.35,3080.85,16,16-20,Valid
PO-00104,Delta_Logistics,20-11-2022,10-12-2022,MRO,Delivered,319,98.64,89.15,57,18%,Yes,1,28438.85,3027.31,5081.55,20,16-20,Valid
PO-00105,Epsilon_Group,15-02-2023,01-03-2023,Office Supplies,Partially Delivered,1936,93.66,92.24,58,3%,Yes,1,178576.64,2749.12,5349.92,14,11-15,Valid
PO-00106,Delta_Logistics,02-10-2022,22-10-2022,MRO,Cancelled,865,14.7,13.14,135,16%,No,0,11366.1,1349.4,1773.9,20,16-20,Valid
PO-00107,Epsilon_Group,09-03-2022,12-03-2022,Electronics,Delivered,1344,12.5,10.87,44,3%,Yes,1,14609.28,2190.72,478.28,3,0-5,Valid
PO-00108,Delta_Logistics,05-08-2022,24-08-2022,Raw Materials,Pending,505,45.42,40.37,62,12%,Yes,1,20386.85,2550.25,2502.94,19,16-20,Valid
PO-00109,Beta_Supplies,04-08-2023,05-08-2023,Packaging,Delivered,1535,90.83,78.28,151,10%,No,0,120159.8,19264.25,11820.28,1,0-5,Valid
PO-00110,Beta_Supplies,19-11-2022,,Office Supplies,Delivered,1800,103.8,96.27,166,9%,Yes,1,173286,13554,15980.82,Not Updated,Not Updated,Missing
PO-00111,Delta_Logistics,06-08-2022,15-08-2022,Raw Materials,Pending,1325,24.36,22.75,206,16%,Yes,1,30143.75,2133.25,4686.5,9,6-10,Valid
PO-00112,Gamma_Co,03-11-2023,09-11-2023,Raw Materials,Delivered,1066,70.45,65.88,56,5%,No,0,70228.08,4871.62,3689.28,6,6-10,Valid
PO-00113,Beta_Supplies,27-05-2023,11-06-2023,Raw Materials,Delivered,1775,47.82,45.86,180,10%,Yes,1,81401.5,3479,8254.8,15,11-15,Valid
PO-00114,Gamma_Co,10-02-2023,,Raw Materials,Partially Delivered,345,103.62,98.09,25,7%,No,0,33841.05,1907.85,2452.25,In Process,In Process,Valid
PO-00115,Beta_Supplies,21-10-2023,09-11-2023,Electronics,Delivered,1798,94.8,91.83,0,0%,Yes,1,165110.34,5340.06,0,19,16-20,Valid
PO-00116,Alpha_Inc,15-04-2023,01-05-2023,MRO,Delivered,769,91.86,86.55,17,2%,Yes,1,66556.95,4083.39,1471.35,16,16-20,Valid
PO-00117,Alpha_Inc,27-05-2022,,Packaging,Delivered,1822,53.23,47.49,39,2%,Yes,1,86526.78,10458.28,1852.11,Not Updated,Not Updated,Missing
PO-00118,Delta_Logistics,29-09-2022,13-10-2022,Packaging,Delivered,387,49.23,45.41,61,16%,Yes,1,17573.67,1478.34,2770.01,14,11-15,Valid
PO-00119,Epsilon_Group,23-05-2022,27-05-2022,MRO,Delivered,928,35.3,32.52,26,3%,Yes,1,30178.56,2579.84,845.52,4,0-5,Valid
PO-00120,Alpha_Inc,10-09-2022,21-09-2022,Packaging,Partially Delivered,1126,15.68,14.97,27,2%,Yes,1,16856.22,799.46,404.19,11,11-15,Valid
PO-00121,Beta_Supplies,29-07-2023,14-08-2023,Raw Materials,Cancelled,841,95.73,85.33,81,10%,Yes,1,71762.53,8746.4,6911.73,16,16-20,Valid
PO-00122,Beta_Supplies,06-07-2023,19-07-2023,Electronics,Delivered,1995,90.65,77.75,206,10%,Yes,1,155111.25,25735.5,16016.5,13,11-15,Valid
PO-00123,Alpha_Inc,27-09-2022,15-10-2022,Raw Materials,Delivered,266,103.97,101.44,6,2%,Yes,1,26983.04,672.98,608.64,18,16-20,Valid
PO-00124,Alpha_Inc,22-08-2023,25-08-2023,Raw Materials,Cancelled,813,109.17,107.39,14,2%,Yes,1,87308.07,1447.14,1503.46,3,0-5,Valid
PO-00125,Epsilon_Group,15-03-2023,26-03-2023,Electronics,Delivered,237,64.19,59.01,7,3%,Yes,1,13985.37,1227.66,413.07,11,11-15,Valid
PO-00126,Alpha_Inc,21-08-2023,03-09-2023,Office Supplies,Cancelled,429,86.73,75.09,9,2%,Yes,1,32213.61,4993.56,675.81,13,11-15,Valid
PO-00127,Delta_Logistics,13-02-2023,14-02-2023,Packaging,Delivered,542,101.21,93.11,78,14%,No,0,50465.62,4390.2,7262.58,1,0-5,Valid
PO-00128,Epsilon_Group,06-01-2023,24-01-2023,Electronics,Delivered,1114,91.66,85.53,35,3%,Yes,1,95280.42,6828.82,2993.55,18,16-20,Valid
PO-00129,Alpha_Inc,13-08-2022,15-08-2022,MRO,Delivered,1230,33.39,30.85,26,2%,Yes,1,37945.5,3124.2,802.1,2,0-5,Valid
PO-00130,Beta_Supplies,22-05-2022,03-06-2022,MRO,Delivered,64,51.56,50.88,5,8%,Yes,1,3256.32,43.52,254.4,12,11-15,Valid
PO-00131,Alpha_Inc,06-06-2023,22-06-2023,MRO,Delivered,1886,23.46,23.18,0,0%,Yes,1,43717.48,528.08,0,16,16-20,Valid
PO-00132,Delta_Logistics,21-05-2023,23-05-2023,Office Supplies,Delivered,114,103.53,101.54,14,12%,Yes,1,11575.56,226.86,1421.56,2,0-5,Valid
PO-00133,Delta_Logistics,04-04-2022,22-04-2022,Electronics,Cancelled,1930,65.52,56.9,282,15%,Yes,1,109817,16636.6,16045.8,18,16-20,Valid
PO-00134,Beta_Supplies,18-02-2022,28-02-2022,Office Supplies,Pending,1912,30.73,29.82,191,10%,Yes,1,57015.84,1739.92,5695.62,10,6-10,Valid
PO-00135,Epsilon_Group,23-04-2022,09-05-2022,MRO,Delivered,570,71.51,66.47,0,0%,Yes,1,37887.9,2872.8,0,16,16-20,Valid
PO-00136,Beta_Supplies,06-06-2022,26-06-2022,Raw Materials,Delivered,1417,67.27,60.62,0,0%,Yes,1,85898.54,9423.05,0,20,16-20,Valid
PO-00137,Alpha_Inc,05-10-2023,11-10-2023,Raw Materials,Delivered,1202,46.67,44.13,21,2%,No,0,53044.26,3053.08,926.73,6,6-10,Valid
PO-00138,Beta_Supplies,13-06-2022,14-06-2022,Office Supplies,Delivered,697,20.73,19.83,78,11%,No,0,13821.51,627.3,1546.74,1,0-5,Valid
PO-00139,Epsilon_Group,28-11-2023,01-12-2023,MRO,Delivered,1545,78.19,76.91,42,3%,Yes,1,118825.95,1977.6,3230.22,3,0-5,Valid
PO-00140,Gamma_Co,09-03-2023,13-03-2023,MRO,Partially Delivered,1136,60.81,58.25,62,5%,Yes,1,66172,2908.16,3611.5,4,0-5,Valid
PO-00141,Beta_Supplies,03-09-2023,07-09-2023,MRO,Delivered,1212,87.46,74.55,118,10%,No,0,90354.6,15646.92,8796.9,4,0-5,Valid
PO-00142,Epsilon_Group,07-03-2022,12-03-2022,MRO,Delivered,1572,57.38,49.32,40,3%,Yes,1,77531.04,12670.32,1972.8,5,0-5,Valid
PO-00143,Gamma_Co,30-01-2023,09-02-2023,Electronics,Delivered,642,91.9,81.49,26,4%,Yes,1,52316.58,6683.22,2118.74,10,6-10,Valid
PO-00144,Epsilon_Group,26-01-2023,04-02-2023,Office Supplies,Delivered,441,63.25,54.12,16,4%,Yes,1,23866.92,4026.33,865.92,9,6-10,Valid
PO-00145,Epsilon_Group,03-09-2023,19-09-2023,Office Supplies,Delivered,1748,66.53,57.11,0,0%,Yes,1,99828.28,16466.16,0,16,16-20,Valid
PO-00146,Gamma_Co,25-04-2023,,Electronics,Pending,468,95.57,91.8,24,5%,Yes,1,42962.4,1764.36,2203.2,Pending/Cancelled,Pending/Cancelled,Valid
PO-00147,Beta_Supplies,26-06-2023,14-07-2023,Raw Materials,Delivered,338,50.25,46.28,49,14%,No,0,15642.64,1341.86,2267.72,18,16-20,Valid
PO-00148,Gamma_Co,15-09-2022,22-09-2022,Office Supplies,Delivered,428,22.94,21.52,26,6%,Yes,1,9210.56,607.76,559.52,7,6-10,Valid
PO-00149,Beta_Supplies,21-07-2023,,Packaging,Delivered,1846,13.72,12.62,216,12%,Yes,1,23296.52,2030.6,2725.92,Not Updated,Not Updated,Missing
PO-00150,Epsilon_Group,12-01-2022,17-01-2022,Office Supplies,Delivered,1563,77.96,70.8,41,3%,Yes,1,110660.4,11191.08,2902.8,5,0-5,Valid
PO-00151,Beta_Supplies,28-11-2023,07-12-2023,Office Supplies,Delivered,280,73.07,69.29,30,11%,Yes,1,19401.2,1058.4,2078.7,9,6-10,Valid
PO-00152,Delta_Logistics,28-04-2022,12-05-2022,Raw Materials,Delivered,1067,74.47,64.16,0,0%,No,0,68458.72,11000.77,0,14,11-15,Valid
PO-00153,Gamma_Co,30-11-2023,17-12-2023,Electronics,Pending,90,32.38,29.96,7,8%,Yes,1,2696.4,217.8,209.72,17,16-20,Valid
PO-00154,Gamma_Co,04-07-2023,05-07-2023,Raw Materials,Delivered,1101,24.28,22.73,59,5%,No,0,25025.73,1706.55,1341.07,1,0-5,Valid
PO-00155,Alpha_Inc,01-10-2022,11-10-2022,Raw Materials,Delivered,184,11.82,10.51,4,2%,Yes,1,1933.84,241.04,42.04,10,6-10,Valid
PO-00156,Epsilon_Group,19-10-2023,07-11-2023,Electronics,Delivered,250,45.92,41.02,3,1%,Yes,1,10255,1225,123.06,19,16-20,Valid
PO-00157,Epsilon_Group,15-12-2022,,Packaging,Cancelled,1913,66.56,61.34,61,3%,Yes,1,117343.42,9985.86,3741.74,Pending/Cancelled,Pending/Cancelled,Valid
PO-00158,Beta_Supplies,25-04-2022,30-04-2022,Electronics,Delivered,829,45.98,40.39,0,0%,Yes,1,33483.31,4634.11,0,5,0-5,Valid
PO-00159,Delta_Logistics,28-10-2022,13-11-2022,Raw Materials,Delivered,979,51.59,49.69,148,15%,Yes,1,48646.51,1860.1,7354.12,16,16-20,Valid
PO-00160,Epsilon_Group,22-03-2023,09-04-2023,Electronics,Partially Delivered,1106,97.77,90.45,31,3%,Yes,1,100037.7,8095.92,2803.95,18,16-20,Valid
PO-00161,Delta_Logistics,11-06-2022,24-06-2022,Office Supplies,Pending,1121,42.38,38.34,152,14%,Yes,1,42979.14,4528.84,5827.68,13,11-15,Valid
